DataZone,IntZone,HB,HSCP,CA,SIMD2020V2Rank,SIMD2020V2CountryDecile,SIMD2020V2CountryQuintile,SIMD2020V2HBDecile,SIMD2020V2HBQuintile,SIMD2020V2HSCPDecile,SIMD2020V2HSCPQuintile,SIMD2020V2CADecile,SIMD2020V2CAQuintile,SIMD2020V2Most15pc,SIMD2020V2Least15pc
S01006506,S02001236,S08000020,S37000001,S12000033,4691,7,4,5,3,6,3,6,3,0,0
S01006507,S02001236,S08000020,S37000001,S12000033,4862,7,4,6,3,6,3,6,3,0,0
S01006508,S02001236,S08000020,S37000001,S12000033,5686,9,5,8,4,7,4,7,4,0,0
S01006509,S02001236,S08000020,S37000001,S12000033,4332,7,4,5,3,5,3,5,3,0,0
S01006510,S02001236,S08000020,S37000001,S12000033,3913,6,3,4,2,5,3,5,3,0,0
S01006511,S02001236,S08000020,S37000001,S12000033,6253,9,5,9,5,8,4,8,4,0,1
S01006512,S02001236,S08000020,S37000001,S12000033,5692,9,5,8,4,7,4,7,4,0,0
S01006513,S02001237,S08000020,S37000001,S12000033,6177,9,5,9,5,8,4,8,4,0,1
S01006514,S02001237,S08000020,S37000001,S12000033,6715,10,5,10,5,9,5,9,5,0,1
S01006515,S02001237,S08000020,S37000001,S12000033,6363,10,5,9,5,8,4,8,4,0,1
S01006516,S02001237,S08000020,S37000001,S12000033,5947,9,5,8,4,7,4,7,4,0,0
S01006517,S02001237,S08000020,S37000001,S12000033,5772,9,5,8,4,7,4,7,4,0,0
S01006518,S02001238,S08000020,S37000001,S12000033,6674,10,5,10,5,9,5,9,5,0,1
S01006519,S02001238,S08000020,S37000001,S12000033,6229,9,5,9,5,8,4,8,4,0,1
S01006520,S02001238,S08000020,S37000001,S12000033,6490,10,5,9,5,9,5,9,5,0,1
S01006521,S02001238,S08000020,S37000001,S12000033,6519,10,5,9,5,9,5,9,5,0,1
S01006522,S02001238,S08000020,S37000001,S12000033,6769,10,5,10,5,10,5,10,5,0,1
S01006523,S02001238,S08000020,S37000001,S12000033,6504,10,5,9,5,9,5,9,5,0,1
S01006524,S02001238,S08000020,S37000001,S12000033,4175,6,3,5,3,5,3,5,3,0,0
S01006525,S02001238,S08000020,S37000001,S12000033,6143,9,5,9,5,8,4,8,4,0,1
S01006526,S02001239,S08000020,S37000001,S12000033,2538,4,2,2,1,3,2,3,2,0,0
S01006527,S02001239,S08000020,S37000001,S12000033,2030,3,2,2,1,2,1,2,1,0,0
S01006528,S02001239,S08000020,S37000001,S12000033,3834,6,3,4,2,5,3,5,3,0,0
S01006529,S02001239,S08000020,S37000001,S12000033,3770,6,3,4,2,5,3,5,3,0,0
S01006530,S02001239,S08000020,S37000001,S12000033,2218,4,2,2,1,3,2,3,2,0,0
S01006531,S02001239,S08000020,S37000001,S12000033,1611,3,2,1,1,2,1,2,1,0,0
S01006532,S02001240,S08000020,S37000001,S12000033,5977,9,5,8,4,7,4,7,4,0,1
S01006533,S02001240,S08000020,S37000001,S12000033,6786,10,5,10,5,10,5,10,5,0,1
S01006534,S02001240,S08000020,S37000001,S12000033,6831,10,5,10,5,10,5,10,5,0,1
S01006535,S02001240,S08000020,S37000001,S12000033,6734,10,5,10,5,9,5,9,5,0,1
S01006536,S02001240,S08000020,S37000001,S12000033,5634,9,5,8,4,7,4,7,4,0,0
S01006537,S02001241,S08000020,S37000001,S12000033,6664,10,5,10,5,9,5,9,5,0,1
S01006538,S02001241,S08000020,S37000001,S12000033,6457,10,5,9,5,9,5,9,5,0,1
S01006539,S02001241,S08000020,S37000001,S12000033,6727,10,5,10,5,9,5,9,5,0,1
S01006540,S02001241,S08000020,S37000001,S12000033,6478,10,5,9,5,9,5,9,5,0,1
S01006541,S02001241,S08000020,S37000001,S12000033,6548,10,5,10,5,9,5,9,5,0,1
S01006542,S02001242,S08000020,S37000001,S12000033,6751,10,5,10,5,9,5,9,5,0,1
S01006543,S02001242,S08000020,S37000001,S12000033,6756,10,5,10,5,9,5,9,5,0,1
S01006544,S02001242,S08000020,S37000001,S12000033,6937,10,5,10,5,10,5,10,5,0,1
S01006545,S02001242,S08000020,S37000001,S12000033,6594,10,5,10,5,9,5,9,5,0,1
S01006546,S02001242,S08000020,S37000001,S12000033,6951,10,5,10,5,10,5,10,5,0,1
S01006547,S02001243,S08000020,S37000001,S12000033,3784,6,3,4,2,5,3,5,3,0,0
S01006548,S02001243,S08000020,S37000001,S12000033,6455,10,5,9,5,9,5,9,5,0,1
S01006549,S02001243,S08000020,S37000001,S12000033,6820,10,5,10,5,10,5,10,5,0,1
S01006550,S02001243,S08000020,S37000001,S12000033,6760,10,5,10,5,10,5,10,5,0,1
S01006551,S02001243,S08000020,S37000001,S12000033,1474,3,2,1,1,2,1,2,1,0,0
S01006552,S02001243,S08000020,S37000001,S12000033,6084,9,5,9,5,8,4,8,4,0,1
S01006553,S02001244,S08000020,S37000001,S12000033,5280,8,4,7,4,6,3,6,3,0,0
S01006554,S02001244,S08000020,S37000001,S12000033,3924,6,3,4,2,5,3,5,3,0,0
S01006555,S02001244,S08000020,S37000001,S12000033,1608,3,2,1,1,2,1,2,1,0,0
S01006556,S02001244,S08000020,S37000001,S12000033,2292,4,2,2,1,3,2,3,2,0,0
S01006557,S02001244,S08000020,S37000001,S12000033,1446,3,2,1,1,2,1,2,1,0,0
S01006558,S02001245,S08000020,S37000001,S12000033,6797,10,5,10,5,10,5,10,5,0,1
S01006559,S02001245,S08000020,S37000001,S12000033,6972,10,5,10,5,10,5,10,5,0,1
S01006560,S02001245,S08000020,S37000001,S12000033,6953,10,5,10,5,10,5,10,5,0,1
S01006561,S02001245,S08000020,S37000001,S12000033,6975,10,5,10,5,10,5,10,5,0,1
S01006562,S02001245,S08000020,S37000001,S12000033,4724,7,4,6,3,6,3,6,3,0,0
S01006563,S02001245,S08000020,S37000001,S12000033,5035,8,4,6,3,6,3,6,3,0,0
S01006564,S02001246,S08000020,S37000001,S12000033,3336,5,3,3,2,4,2,4,2,0,0
S01006565,S02001246,S08000020,S37000001,S12000033,3653,6,3,4,2,5,3,5,3,0,0
S01006566,S02001246,S08000020,S37000001,S12000033,5826,9,5,8,4,7,4,7,4,0,0
